t,value
1775392230,9223372036854775807
1775392260,9223372036854775807
1775392290,9223372036854775807
1775392320,9223372036854775807
1775392350,9223372036854775807
1775392380,0
1775392410,9223372036854774455
1775392440,9223372036854763303
1775392470,9223372036854763111
1775392500,9223372036854763111
1775392530,9223372036854763119
1775392561,9223372036854763175
1775392591,9223372036854763207
1775392621,9223372036854763303
1775392651,9223372036854762271
1775392681,9223372036854762263
1775392711,9223372036854761879
1775392741,9223372036854761815
1775392771,9223372036854761751
1775392801,9223372036854761687
1775392831,9223372036854761559
1775392861,9223372036854761495
1775392891,9223372036854761495
1775392921,9223372036854761431
1775392951,9223372036854761367
1775392981,9223372036854761367
1775393011,9223372036854761303
1775393041,9223372036854761239
1775393071,9223372036854761239
1775393101,9223372036854761175
1775393131,9223372036854761175
1775393161,9223372036854761111
1775393191,9223372036854761111
1775393221,9223372036854761047
1775393251,9223372036854761047
1775393281,9223372036854760983
1775393311,9223372036854760919
1775393341,9223372036854760919
1775393371,9223372036854760855
1775393401,9223372036854760855
1775393431,9223372036854760791
1775393461,9223372036854760727
1775393491,9223372036854760727
1775393521,9223372036854760663
1775393552,9223372036854760599
1775393582,9223372036854760599
1775393612,9223372036854760535
1775393642,9223372036854760535
1775393672,9223372036854760471
1775393702,9223372036854760407
1775393732,9223372036854760407
1775393762,9223372036854760343
1775393792,9223372036854760279
1775393822,9223372036854760279
1775393852,9223372036854760215
1775393882,9223372036854760215
1775393912,9223372036854760151
1775393942,9223372036854760087
1775393972,9223372036854760087
1775394002,9223372036854760023
1775394032,9223372036854759959
1775394062,9223372036854759959
1775394092,9223372036854759895
1775394122,9223372036854759895
1775394152,9223372036854759895
1775394182,9223372036854759831
1775394212,9223372036854759767
1775394242,9223372036854759767
1775394272,9223372036854759703
1775394302,9223372036854759639
1775394332,9223372036854759639
1775394362,9223372036854759575
1775394392,9223372036854759575
1775394422,9223372036854759511
1775394452,9223372036854756631
1775394482,9223372036854709783
1775394512,9223372036854709719
1775394542,9223372036854709719
1775394572,9223372036854709591
1775394602,9223372036854709527
1775394632,9223372036854709463
1775394662,9223372036854709463
1775394692,9223372036854709399
1775394722,9223372036854709399
1775394752,9223372036854709335
1775394782,9223372036854709343
1775394812,9223372036854709399
1775394842,9223372036854709431
