t,value
1775392230,0.0
1775392260,1.0
1775392290,1.0
1775392320,1.0
1775392350,1.0
1775392380,1.0
1775392410,1.0
1775392440,1.0
1775392470,0.9929078014184397
1775392500,1.0
1775392530,1.0
1775392561,1.0
1775392591,1.0
1775392621,1.0
1775392651,1.0
1775392681,1.0
1775392711,1.0
1775392741,1.0
1775392771,1.0
1775392801,1.0
1775392831,0.9976580796252927
1775392861,1.0
1775392891,1.0
1775392921,1.0
1775392951,1.0
1775392981,1.0
1775393011,1.0
1775393041,1.0
1775393071,1.0
1775393101,1.0
1775393131,0.9740437158469946
1775393161,1.0
1775393191,1.0
1775393221,1.0
1775393251,1.0
1775393281,1.0
1775393311,1.0
1775393341,1.0
1775393371,1.0
1775393401,1.0
1775393431,1.0
1775393461,1.0
1775393491,1.0
1775393521,1.0
1775393552,1.0
1775393582,1.0
1775393612,1.0
1775393642,1.0
1775393672,1.0
1775393702,1.0
1775393732,1.0
1775393762,1.0
1775393792,1.0
1775393822,1.0
1775393852,1.0
1775393882,1.0
1775393912,1.0
1775393942,1.0
1775393972,1.0
1775394002,1.0
1775394032,1.0
1775394062,1.0
1775394092,1.0
1775394122,1.0
1775394152,1.0
1775394182,1.0
1775394212,1.0
1775394242,1.0
1775394272,1.0
1775394302,1.0
1775394332,1.0
1775394362,1.0
1775394392,1.0
1775394422,1.0
1775394452,0.9952681388012619
1775394482,0.9990365111561866
1775394512,1.0
1775394542,1.0
1775394572,1.0
1775394602,1.0
1775394632,1.0
1775394662,1.0
1775394692,1.0
1775394722,1.0
1775394752,1.0
1775394782,1.0
1775394812,1.0
1775394842,1.0
